dataset,metric_scope,budget,concurrent_opportunities,unique_heldout_opportunities,repetitions,speculative_slots,max_pending,tool_service_ms_synthetic,prediction_lead_ms_synthetic,requested_predictions,admitted_predictions,rejected_capacity,admission_ratio,authoritative_targets,exact_hits,realized_target_coverage,authoritative_executions,completed_reuse,inflight_promotions,mean_exposed_wait_ms,p95_exposed_wait_ms,mean_saved_ms,logical_commits,state_isolation_violations,authoritative_miss_contract
qwen_url_exact_heldout,real bounded scheduler; exact URL confirmation,1,1,34,3,8,8,5.0,2.5,102,102,0,1.0,264,51,0.19318181818181818,213,0,51,4.839003962402013,5.765448993770406,0.6719537880351047,264,0,authoritative misses bypass the speculative semaphore
qwen_url_exact_heldout,real bounded scheduler; exact URL confirmation,1,8,34,3,8,8,5.0,2.5,120,120,0,1.0,319,60,0.18808777429467086,259,0,60,5.117443392106527,6.205813988344744,0.7420493886319973,319,0,authoritative misses bypass the speculative semaphore
qwen_url_exact_heldout,real bounded scheduler; exact URL confirmation,1,32,34,3,8,8,5.0,2.5,192,48,144,0.25,483,26,0.053830227743271224,457,0,26,5.273783863637805,6.248291989322752,0.2453781408402398,483,0,authoritative misses bypass the speculative semaphore
qwen_url_exact_heldout,real bounded scheduler; exact URL confirmation,3,1,34,3,8,8,5.0,2.5,306,306,0,1.0,264,114,0.4318181818181818,150,0,114,4.04411869043763,5.822039005579427,1.4968144245027692,264,0,authoritative misses bypass the speculative semaphore
qwen_url_exact_heldout,real bounded scheduler; exact URL confirmation,3,8,34,3,8,8,5.0,2.5,360,120,240,0.3333333333333333,319,60,0.18808777429467086,259,0,60,4.92572943765019,5.8165889931842685,0.705964595161898,319,0,authoritative misses bypass the speculative semaphore
qwen_url_exact_heldout,real bounded scheduler; exact URL confirmation,3,32,34,3,8,8,5.0,2.5,576,48,528,0.08333333333333333,483,26,0.053830227743271224,457,0,26,5.395857099475972,6.971649010665715,0.2680053621965343,483,0,authoritative misses bypass the speculative semaphore
qwen_url_exact_heldout,real bounded scheduler; exact URL confirmation,5,1,34,3,8,8,5.0,2.5,510,510,0,1.0,264,147,0.5568181818181818,117,0,147,3.6301557274507075,5.610774998785928,1.8676449582210009,264,0,authoritative misses bypass the speculative semaphore
qwen_url_exact_heldout,real bounded scheduler; exact URL confirmation,5,8,34,3,8,8,5.0,2.5,600,120,480,0.2,319,60,0.18808777429467086,259,0,60,4.985543495068928,6.041888002073392,0.7216179747788417,319,0,authoritative misses bypass the speculative semaphore
qwen_url_exact_heldout,real bounded scheduler; exact URL confirmation,5,32,34,3,8,8,5.0,2.5,960,48,912,0.05,483,26,0.053830227743271224,457,0,26,5.258996132966112,6.1128599918447435,0.266618287616446,483,0,authoritative misses bypass the speculative semaphore
