scenario,width,offered_concurrency,repetitions,workers,speculative_workers,visit_capacity,max_speculative_pending,synthetic_service_ms,synthetic_prediction_lead_ms,requested_predictions,admitted_predictions,rejected_predictions,admission_ratio,authoritative_targets,exact_hits,completed_reuse_hits,inflight_promotion_hits,queued_promotion_hits,overlap_producing_hits,overlap_producing_target_coverage,realized_exact_target_coverage,admitted_candidate_precision,logical_waste_admitted,wrong_speculations_started,wrong_speculations_never_started,wasted_speculative_service_ms,saved_speculative_service_ms,wasted_service_ms_per_authoritative_target,observed_wrong_service_ms_per_started_call,baseline_observed_service_ms_per_started_call,pattern_observed_service_ms_per_started_call,baseline_observed_service_p95_ms_mean_across_repeats,pattern_observed_service_p95_ms_mean_across_repeats,physical_calls_started,physical_call_amplification_vs_demand_only,baseline_mean_exposed_wait_ms,pattern_mean_exposed_wait_ms,baseline_p95_exposed_wait_ms_mean_across_repeats,pattern_p95_exposed_wait_ms_mean_across_repeats,net_latency_benefit_ms_total,net_latency_benefit_ms_per_target,net_latency_benefit_fraction,baseline_drained_workload_wall_s,pattern_drained_workload_wall_s,drained_workload_wall_benefit_s,drained_workload_wall_benefit_fraction,baseline_authoritative_throughput_per_s,pattern_authoritative_throughput_per_s,admission_deadline_overrun_batches,admission_batches,admission_submission_mean_ms_across_repeats,admission_submission_max_ms,confirmation_offset_mean_ms_across_repeats,confirmation_offset_p95_ms_mean_across_repeats,confirmation_offset_max_ms,all_safety_invariants_passed,serialized_predictor_compute_ms,conservative_net_including_predictor_ms_total,conservative_net_including_predictor_ms_per_target,conservative_net_including_predictor_fraction,conservative_pattern_wall_including_predictor_s,conservative_drained_wall_benefit_including_predictor_s,conservative_drained_wall_benefit_including_predictor_fraction
observed_pattern_v2_oof,1,1,3,4,2,2,128,5.0,2.5,942,942,0,1.0,705,150,0,150,0,150,0.2127659574468085,0.2127659574468085,0.1592356687898089,792,792,0,4247.023264353629,487.59150359546766,6.024146474260467,5.3624031115576125,5.262106639524618,5.386736628126027,5.431058331547926,5.612182314507663,1497,2.123404255319149,7.93916030402183,7.215067863395002,15.910759005540362,16.19343531395619,510.485170641914,0.7240924406268284,0.09120516690663327,5.8926414690795355,7.049054315022659,-1.156412845943123,-0.1962469381534868,119.64074239020775,100.01341577089747,0,1020,0.07574968142708872,0.19940099446102977,3.2089451063132173,3.2549366587772965,3.402684989850968,True,342.73454100000015,167.75062964191386,0.2379441555204452,0.029970947355718102,7.391788856022659,-1.4991473869431235,-0.25441007989534087
observed_pattern_v2_oof,1,8,3,4,2,2,128,5.0,2.5,942,942,0,1.0,705,150,0,50,100,50,0.07092198581560284,0.2127659574468085,0.1592356687898089,792,235,557,1431.0377565561794,144.10338405286893,2.0298407894413892,6.089522368324167,5.38046277286683,5.544845820986666,5.7506763259880245,6.469835352618247,940,1.3333333333333333,13.70048692411948,15.145680715630478,28.681442025117576,29.514880346444745,-1018.8616230152547,-1.4451937915109996,-0.10548484878787484,2.51029154099524,2.80229377100477,-0.29200223000952974,-0.116322038791463,280.8438735050244,251.5796192728289,0,129,0.46355851074002047,0.7128270226530731,2.839924000084487,3.5828573357624314,3.607105987612158,True,342.73454100000015,-1361.596164015255,-1.931342076617383,-0.14096886390346372,3.14502831200477,-0.6347367710095297,-0.2528538062785646
observed_pattern_v2_oof,1,32,3,4,2,2,128,5.0,2.5,942,942,0,1.0,705,150,0,11,139,11,0.015602836879432624,0.2127659574468085,0.1592356687898089,792,82,710,601.9306941889226,43.39683201396838,0.8538024031048548,7.34061822181613,5.450390373828907,5.588675172318464,6.698947341646999,7.994698011316359,787,1.1163120567375886,36.35971374646265,38.02730166171644,76.25538599677384,77.49108799422781,-1175.6494802539237,-1.6675879152537925,-0.045863615068092445,2.1026312219910324,2.264998493017629,-0.16236727102659643,-0.07722099307212177,335.2941745687665,311.25848523666673,0,33,2.0447256622102223,2.3306090151891112,3.4071026038322034,3.5801357007585466,3.596406022552401,True,342.73454100000015,-1518.384021253924,-2.153736200360176,-0.059234135212896374,2.607733034017629,-0.5051018120265964,-0.2402236810448878
observed_pattern_v2_oof,1,64,3,4,2,2,128,5.0,2.5,942,942,0,1.0,705,150,0,6,144,6,0.00851063829787234,0.2127659574468085,0.1592356687898089,792,55,737,814.105392084457,38.288264942821115,1.154759421396393,14.8019162197174,5.552504077745298,6.203112637281026,6.026463330878566,5.9309226732390625,760,1.0780141843971631,67.13884887747889,79.36122217587136,136.19807799113914,149.2773246524545,-8616.773175366689,-12.222373298392466,-0.18204621471388302,2.0778575480217114,2.3943232860183343,-0.3164657379966229,-0.15230386620965616,339.2917867113735,294.4464534579987,15,18,4.751939782484745,6.204049976076931,5.076393271641185,5.853822318992267,6.205172976478934,True,342.73454100000015,-8959.507716366688,-12.708521583498849,-0.1892871533542453,2.7370578270183343,-0.6592002789966229,-0.317249986470071
observed_pattern_v2_oof,1,128,3,4,2,2,128,5.0,2.5,942,942,0,1.0,705,150,0,4,146,4,0.005673758865248227,0.2127659574468085,0.1592356687898089,792,35,757,893.7646677950397,71.71024702256545,1.2677513018369357,25.536133365572564,5.72419992882547,6.743373641448498,5.620340351015329,5.765196653859069,740,1.049645390070922,125.20425849278782,152.32257869661,239.25970366690308,265.9256766395022,-19118.41574369464,-27.118320203822186,-0.21659263454992062,2.0928757090005092,2.5176123109995387,-0.4247366019990295,-0.20294401629892786,336.8570799346157,280.027229339414,9,9,12.77110922900546,15.717722999397665,12.772362789190893,15.413984016049653,15.718945011030883,True,342.73454100000015,-19461.150284694642,-27.60446848892857,-0.2204754760040265,2.8603468519995388,-0.7674711429990295,-0.36670650803508503
observed_pattern_v2_oof,3,1,3,4,2,2,128,5.0,2.5,2826,2826,0,1.0,705,315,0,252,63,252,0.3574468085106383,0.44680851063829785,0.11146496815286625,2511,2511,0,13673.393434844911,885.7531662215479,19.394884304744554,5.445397624390646,5.262083211560331,5.447855286574714,5.44724667755266,5.724760005250573,3216,4.561702127659575,7.935510739413295,7.072612268070802,15.915340006661912,13.128772669006139,608.343422296457,0.8628984713424922,0.10873887008390462,5.89966644893866,11.330793153028935,-5.431126704090275,-0.920581994100247,119.49828114889924,62.219827904239885,0,1020,0.19647315539437912,0.38630899507552385,3.3557779597935684,3.4612866778237126,3.5982360132038593,True,342.73454100000015,265.60888129645684,0.376750186236109,0.04747648873624531,11.673527694028936,-5.773861245090275,-0.9786758785539449
observed_pattern_v2_oof,3,8,3,4,2,2,128,5.0,2.5,2826,2826,0,1.0,705,315,0,50,265,50,0.07092198581560284,0.44680851063829785,0.11146496815286625,2511,385,2126,2437.298394506797,153.99387903744355,3.4571608432720526,6.330645180537136,5.33942029471278,5.787235397499464,5.709499334140371,7.4597346829250455,1090,1.5460992907801419,13.607795153338303,16.228874962849556,28.585096665968496,31.01829633427163,-1847.8612657054327,-2.621079809511252,-0.19261605425242173,2.4951570139382966,3.358911554038059,-0.8637545400997624,-0.3461724193205913,282.54734914948085,209.88942062271755,0,129,1.4868501507020158,2.1471980144269764,2.930982468844673,3.4824300091713667,3.5974070196971297,True,342.73454100000015,-2190.595806705433,-3.1072280946176356,-0.2283417746669534,3.701646095038059,-1.2064890810997624,-0.48353232857096584
observed_pattern_v2_oof,3,32,3,4,2,2,128,5.0,2.5,2826,2826,0,1.0,705,315,0,11,304,11,0.015602836879432624,0.44680851063829785,0.11146496815286625,2511,152,2359,1743.71577083366,112.12414992041886,2.473355703310156,11.471814281800395,5.510324290425166,6.670119137165779,6.76698130943502,21.22753233804057,857,1.2156028368794327,36.759933648244576,45.38815356138763,76.1939746638139,84.60482367081568,-6082.895038765855,-8.628219913143058,-0.23471804915934844,2.1225375770009123,2.9290551279555075,-0.8065175509545952,-0.3799779846980059,332.14959661451354,240.69195327576264,33,33,9.31178878950463,12.749375018756837,9.313082879860744,11.21758035151288,12.752331036608666,True,342.73454100000015,-6425.629579765855,-9.114368198249439,-0.2479429991758074,3.2717896689555075,-1.1492520919545952,-0.5414519414909286
observed_pattern_v2_oof,3,64,3,4,2,2,128,5.0,2.5,2826,2085,741,0.7377919320594479,705,262,0,6,256,6,0.00851063829787234,0.37163120567375885,0.12565947242206235,1823,87,1736,1670.2920908574015,129.1318191215396,2.369208639514045,19.198759665027602,5.543840877176758,7.212893285663949,5.992993343776713,6.059380655642599,792,1.123404255319149,67.0608203408163,84.40325657328498,136.38676334327707,152.9258403267401,-12226.41754389042,-17.342436232468682,-0.25860757658989264,2.072757900925353,2.9088329959777184,-0.8360750950523652,-0.4033636029944025,340.12655297816633,242.36523752819815,18,18,19.814372101488214,23.755915986839682,19.815628381264915,23.53728867213552,23.76004302641377,True,342.73454100000015,-12569.15208489042,-17.828584517575063,-0.26585694041568064,3.2515675369777184,-1.1788096360523652,-0.5687155434438834
observed_pattern_v2_oof,3,128,3,4,2,2,128,5.0,2.5,2826,1152,1674,0.40764331210191085,705,170,0,4,166,4,0.005673758865248227,0.24113475177304963,0.14756944444444445,982,37,945,1345.478795003146,185.19946897868067,1.9084805602881503,36.36429175684178,5.715064406939882,7.503561444365296,5.606691003777087,5.877445665343354,742,1.052482269503546,124.95241452062979,156.83838771424976,238.8785213503676,271.35529367175576,-22479.611101502087,-31.885973193619982,-0.2551849303268611,2.0885797980008647,2.809540714020841,-0.7209609160199761,-0.3451919417730946,337.54994694232323,250.93069357626345,9,9,38.71185287910824,44.14640797767788,38.71304731324522,43.84599563976129,44.14765996625647,True,342.73454100000015,-22822.34564250209,-32.37212147872636,-0.2590755977218967,3.152275255020841,-1.0636954570199761,-0.5092912696168556
