scenario,policy,offered_concurrency,repetitions,workers,visit_capacity,isolated_speculative_slots,broker_workers,broker_visit_capacity,requires_isolated_capacity,visit_authoritative_reserve,max_speculative_workers,max_speculative_pending,broker_speculative_pending,synthetic_service_ms,synthetic_prediction_lead_ms,requested_predictions,admitted_predictions,rejected_predictions,rejected_capacity,replaced_queued_predictions,rejected_start_deadline,deadline_expired_before_start,deadline_skipped_predictions,admission_ratio,selection_considered,probability_candidates_evaluated,predictor_windows_evaluated,coarse_load_kill_switch_batches,selection_selected,selection_selected_hits,selection_precision,selected_probability_mean,authoritative_targets,exact_hits,realized_exact_target_coverage,overlap_producing_hits,overlap_producing_target_coverage,admitted_candidate_precision,speculative_started_precision,running_speculative_races,speculative_race_wins,authoritative_race_wins,wrong_speculations_started,wrong_speculations_never_started,wrong_speculative_service_ms,wasted_speculative_service_ms,hedged_exact_losers,hedged_exact_loser_service_ms,saved_speculative_service_ms,wasted_service_ms_per_authoritative_target,physical_calls_started,physical_call_amplification_vs_demand_only,baseline_mean_exposed_wait_ms,pattern_mean_exposed_wait_ms,baseline_p95_exposed_wait_ms,pattern_p95_exposed_wait_ms,raw_net_latency_benefit_ms_total,raw_net_latency_benefit_ms_per_target,conservative_runtime_overhead_ms_total,conservative_net_latency_benefit_ms_total,conservative_net_latency_benefit_ms_per_target,conservative_net_latency_benefit_fraction,baseline_drained_wall_s,pattern_drained_wall_s,conservative_pattern_wall_s,conservative_drained_wall_benefit_fraction,baseline_authoritative_throughput_per_s,pattern_authoritative_throughput_per_s,selection_compute_ms_total,precomputed_runtime_ms_total,admission_ms_total,admission_ms_p95_max_across_repeats,deadline_overrun_batches,deadline_batches,max_realized_concurrency,mean_load_pressure,mean_shadow_price,max_queued_authoritative,all_safety_invariants_passed,net_interpretation,execution_order_counterbalanced_ab_ba
observed_nested_oof,safe_global_benefit,1,4,4,2,0,4,2,True,0,,64,64,20.0,10.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,940,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,940,1.0,30.849305023265845,30.74527454229339,62.03490198822692,61.87917501665652,97.78865211410448,0.10403048097245157,0.0,97.78865211410448,0.10403048097245157,0.003372214735275046,28.026464074093383,27.93663460400421,27.93663460400421,0.003205166012083775,33.53972864771411,33.64757471056546,0.0,0.0,0.0,0.0,0,1360,1,0.0,0.0,5,True,no_op_timing_noise,True
observed_nested_oof,safe_global_benefit,8,4,4,2,0,4,2,True,0,,64,64,20.0,10.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,940,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,940,1.0,52.16287350092588,52.238167171983264,122.98439600272104,123.00595099804923,-70.77605079393834,-0.07529367105738122,0.0,-70.77605079393834,-0.07529367105738122,-0.0014434341132691772,12.617439672001638,12.651274659961928,12.651274659961928,-0.002681604892898415,74.50005900054983,74.3008135753199,0.0,0.0,0.0,0.0,0,182,8,0.0,0.0,16,True,no_op_timing_noise,True
observed_nested_oof,safe_global_benefit,32,4,4,2,0,4,2,True,0,,64,64,20.0,10.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,940,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,940,1.0,133.31132200292677,133.0782937482272,293.0416309973225,293.7773119774647,219.0465594176203,0.23302825469959607,0.0,219.0465594176203,0.23302825469959607,0.0017480004788676543,10.78852746100165,10.769367451954167,10.769367451954167,0.001775961466172444,87.12959237466933,87.28460647235426,0.0,0.0,0.0,0.0,0,61,32,0.0,0.0,40,True,no_op_timing_noise,True
observed_nested_oof,safe_global_benefit,98,4,4,2,0,4,2,True,0,,64,64,20.0,10.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,940,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,940,1.0,291.58624346867117,291.25361882238104,737.8777579870075,736.2383600557223,312.66716751269996,0.33262464629010635,0.0,312.66716751269996,0.33262464629010635,0.0011407419030927104,10.445260962995235,10.426622064958792,10.426622064958792,0.00178443584152424,89.99296459228434,90.15383833265611,0.0,0.0,0.0,0.0,0,32,98,0.0,0.0,78,True,no_op_timing_noise,True
all_wrong_counterfactual,safe_global_benefit,1,4,4,2,0,4,2,True,0,,64,64,20.0,10.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,940,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,940,1.0,30.720842376405848,30.81202303886691,61.87518098158762,61.84512301115319,-85.70982271339744,-0.09118066246106112,0.0,-85.70982271339744,-0.09118066246106112,-0.002968039135902389,27.934321479930077,27.965015128080267,27.965015128080267,-0.0010987790833667868,33.65036092519234,33.61342719447078,0.0,0.0,0.0,0.0,0,1360,1,0.0,0.0,5,True,no_op_timing_noise,True
all_wrong_counterfactual,safe_global_benefit,8,4,4,2,0,4,2,True,0,,64,64,20.0,10.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,940,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,940,1.0,52.23082202255102,52.25105237864711,123.17418999737129,123.82797198370099,-19.016534730326384,-0.0202303560960919,0.0,-19.016534730326384,-0.0202303560960919,-0.0003873260138880698,12.62768533808412,12.628171237069182,12.628171237069182,-3.847886386560179e-05,74.43961223558784,74.43674799409519,0.0,0.0,0.0,0.0,0,182,8,0.0,0.0,16,True,no_op_timing_noise,True
all_wrong_counterfactual,safe_global_benefit,32,4,4,2,0,4,2,True,0,,64,64,20.0,10.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,940,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,940,1.0,133.43422725236914,133.23598994967588,294.2473830189556,293.60883199842647,186.34306453168392,0.19823730269328077,0.0,186.34306453168392,0.19823730269328077,0.0014856555681050795,10.788051244977396,10.782138679991476,10.782138679991476,0.0005480660827109496,87.13343852882018,87.18121959833141,0.0,0.0,0.0,0.0,0,61,32,0.0,0.0,40,True,no_op_timing_noise,True
all_wrong_counterfactual,safe_global_benefit,98,4,4,2,0,4,2,True,0,,64,64,20.0,10.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,940,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,940,1.0,292.7221033567355,292.1962129445053,739.508124999702,743.5427129967138,494.3369874963537,0.5258904122301635,0.0,494.3369874963537,0.5258904122301635,0.0017965517676991744,10.490020685014315,10.47031494800467,10.47031494800467,0.0018785222261568511,89.60897487484003,89.77762413719331,0.0,0.0,0.0,0.0,0,32,98,0.0,0.0,78,True,no_op_timing_noise,True
