scenario,policy,offered_load,authoritative_targets,overlap_coverage,wrong_started,wrong_service_ms,wasted_service_ms_per_target,physical_amplification,miss_p95_regression_ms,response_p99_regression_ms,net_benefit_ms_per_target,net_exposed_benefit_ms_per_target,repeat_scheduled_net_median_ms_per_target,repeat_scheduled_net_min_ms_per_target,net_interpretation,throughput_ratio,max_authoritative_outstanding,speculative_top_10pct_session_share,backlog_abstain,coarse_load_kill_switch,late_speculative_starts,all_safety_invariants_passed
observed_nested_oof,rank5_unreserved,0.5,940,0.07234042553191489,432,2887.64056423679,3.0719580470604146,1.4595744680851064,29.878995032049716,37.141129025258124,-6.06816961991036,-4.970215803056837,-5.574829194402481,-8.392748331769983,scheduler_marginal_development_estimate,0.9879485814066495,25,0.5451883440016824,0,0,0,True
observed_nested_oof,confidence_reserved,0.5,940,0.07021276595744681,307,1763.3036751067266,1.8758549735177943,1.3265957446808512,4.408412962220609,5.442471941933036,-0.5644048105905506,-0.45198838095220323,-0.4950866148995354,-1.1617754199641182,scheduler_marginal_development_estimate,1.000009137794705,21,0.36526953153370106,0,0,0,True
observed_nested_oof,utility_risk_limited,0.5,940,0.018085106382978722,68,387.5622199848294,0.4123002340264143,1.0723404255319149,2.3842889349907637,3.507971006911248,-0.3136283107488317,-0.30168917939126333,-0.3726302137093103,-0.4906573776215156,scheduler_marginal_development_estimate,1.0000663321401448,21,1.0,35,1885,0,True
observed_nested_oof,rank5_unreserved,0.9,940,0.009574468085106383,50,296.3313388172537,0.315246105124738,1.053191489361702,204.49426397681236,210.7034630025737,-84.39285296462526,-81.7869799654371,-77.70223037223332,-119.89705702413785,scheduler_marginal_development_estimate,0.8265396720815933,104,1.0,0,0,0,True
observed_nested_oof,confidence_reserved,0.9,940,0.006382978723404255,35,206.92745206179097,0.22013558729977764,1.0372340425531914,19.298173021525145,20.10127791436389,-7.700807349991668,-7.564607701088461,-7.726148577367372,-8.729892092796558,scheduler_marginal_development_estimate,0.9774868314511606,51,1.0,0,0,0,True
observed_nested_oof,utility_risk_limited,0.9,940,0.0010638297872340426,13,77.88962806807831,0.08286130645540246,1.0138297872340425,2.4676930624991655,5.168818053789437,2.0936448880015535,2.104794254533927,2.1545773655661637,-0.11587560825802862,scheduler_marginal_development_estimate,1.0058672251067626,45,1.0,11,5775,0,True
observed_nested_oof,rank5_unreserved,1.2,940,0.0031914893617021275,23,140.27220802381635,0.1492257532168259,1.024468085106383,191.24634203035384,194.64860600419343,-114.9506153092358,-112.07680223309039,-115.49787448206422,-129.86434462747755,scheduler_marginal_development_estimate,0.8141086164684759,143,1.0,0,0,0,True
observed_nested_oof,confidence_reserved,1.2,940,0.0031914893617021275,17,92.45942486450076,0.09836109028138379,1.0180851063829788,37.32679900713265,42.20329795498401,-14.124575755472216,-13.73275225081709,-15.449531644117087,-20.456454682689003,scheduler_marginal_development_estimate,0.9657463006577599,98,1.0,0,0,0,True
observed_nested_oof,utility_risk_limited,1.2,940,0.0,4,24.23663198715076,0.02578365105016038,1.004255319148936,11.550640047062188,13.334030052646995,-0.847477023056312,-0.8677315361366825,-0.16063311870427843,-6.658230162909294,positive_zero_signal_estimate_is_timing_noise_not_benefit,0.9947548665592735,90,0.75,7,6050,0,True
all_wrong_counterfactual,rank5_unreserved,0.5,940,0.0,444,2907.4420512188226,3.093023458743428,1.4723404255319148,36.04372398694977,62.09507101448253,-9.378679016260728,-8.174539817759689,-8.799270088313783,-13.224249245212512,all_wrong_worst_case_cost_no_positive_repeat,0.9782611227608807,25,0.5522949163534461,0,0,0,True
all_wrong_counterfactual,confidence_reserved,0.5,940,0.0,349,2012.374536076095,2.140823974549037,1.3712765957446809,5.079100024886429,6.465691025368869,-1.571636064166322,-1.437739738352359,-1.4648192559685955,-2.236383182908151,all_wrong_worst_case_cost_no_positive_repeat,0.9984574923046856,23,0.39044139207996886,0,0,0,True
all_wrong_counterfactual,utility_risk_limited,0.5,940,0.0,87,505.01301017357036,0.5372478831633727,1.0925531914893618,2.2777309641242027,4.043937020469457,-0.2815467958769543,-0.2574113215582366,-0.28402126453658366,-0.4404666298564444,all_wrong_worst_case_cost_no_positive_repeat,0.9998279640564822,21,1.0,31,1875,0,True
all_wrong_counterfactual,rank5_unreserved,0.9,940,0.0,51,323.6382960458286,0.3442960596232219,1.054255319148936,191.65019103093073,193.86994402157143,-96.41052651141047,-94.32194184925545,-97.37585672298744,-112.29882078998267,all_wrong_worst_case_cost_no_positive_repeat,0.8066277443236691,104,1.0,0,0,0,True
all_wrong_counterfactual,confidence_reserved,0.9,940,0.0,39,225.48506601015106,0.23987772979803304,1.0414893617021277,23.599059029947966,28.982100950088352,-8.89166903464084,-8.691909214719496,-8.257640530157122,-13.782797012220513,all_wrong_worst_case_cost_no_positive_repeat,0.9731771963394388,49,1.0,0,0,0,True
all_wrong_counterfactual,utility_risk_limited,0.9,940,0.0,13,77.72538211429492,0.08268657671733502,1.0138297872340425,7.813643955159932,9.825335000641644,-1.2449119918102873,-1.2022296199575067,-2.4592598282206963,-3.9788510098042797,positive_zero_signal_estimate_is_timing_noise_not_benefit,0.9966126791677723,45,1.0,13,5805,0,True
all_wrong_counterfactual,rank5_unreserved,1.2,940,0.0,24,148.95227504894137,0.1584598670733419,1.025531914893617,199.68495704233646,207.31450204038993,-123.74100543836013,-120.21099283456545,-123.38486363098244,-139.90894455259587,all_wrong_worst_case_cost_no_positive_repeat,0.8041620264206063,145,1.0,0,0,0,True
all_wrong_counterfactual,confidence_reserved,1.2,940,0.0,22,130.13539818348363,0.1384419129611528,1.023404255319149,55.5012280237861,61.975663993507624,-23.616929919746248,-23.155772824278795,-21.605827155562633,-36.65729184397199,all_wrong_worst_case_cost_no_positive_repeat,0.9473883368033802,106,1.0,0,0,0,True
all_wrong_counterfactual,utility_risk_limited,1.2,940,0.0,3,18.300613039173186,0.019468737275716155,1.0031914893617022,0.47196296509355307,1.1170110083185136,2.767282367270301,2.7734079891122243,2.5256289633615143,1.2278915011383436,positive_zero_signal_estimate_is_timing_noise_not_benefit,1.0052100800170516,88,0.75,7,6065,0,True
